time,interception,snowpack,swc_l01,swc_l02,swc_l03,swc_lall,unsatSTW,satSTW,sealedSTW,sm_l01,sm_l02,sm_l03,sm_lall,total,interception_anomaly,snowpack_anomaly,swc_l01_anomaly,swc_l02_anomaly,swc_l03_anomaly,swc_lall_anomaly,unsatSTW_anomaly,satSTW_anomaly,sealedSTW_anomaly,total_anomaly,interception_pctl,snowpack_pctl,swc_l01_pctl,swc_l02_pctl,swc_l03_pctl,swc_lall_pctl,unsatSTW_pctl,satSTW_pctl,sealedSTW_pctl,total_pctl
1998-02-01,0.13879686698110677,7.92130216634492,67.89017245054877,76.47280109766332,220.21245899443903,1753.6681855710613,9.19747270662157,17.4768753178914,1.7477578868315047,0.9209786573654454,0.9841132303031487,0.9924608666646966,0.974260103095034,1790.1503905157317,-0.05460559223277564,-5.513821903530668,-1.9376472695870888,-0.6554400668658076,-0.5353087255782327,-16.322339332459933,-1.12989222614633,-7.382238123707033,0.042084009697611835,-30.36081316837908,22.580645161290324,54.83870967741935,12.903225806451612,16.129032258064516,22.580645161290324,12.903225806451612,41.935483870967744,16.129032258064516,51.61290322580645,19.35483870967742
1998-03-01,0.17856254113141817,0.48022103137951055,68.78731291119212,77.25154137959106,220.99902722776068,1765.0640133378567,15.5767261133532,25.445382862044426,1.2769466332161323,0.9328134922098745,0.9935204577064936,0.9958693267780192,0.9805911185210315,1808.0218525189814,0.03345028931473992,-6.046969307054361,4.5835166895990085,0.36081626961670565,-0.15173551495871607,26.216875406312283,4.805282077332862,-1.2576827965948958,0.22777436210116364,23.978730031411715,78.26086956521739,43.47826086956522,73.91304347826087,69.56521739130434,34.78260869565217,73.91304347826087,86.95652173913044,39.130434782608695,73.91304347826087,69.56521739130434
1998-04-01,0.08715241347775272,0.011724322371680718,50.040634701062544,75.56409784689113,221.04621769606135,1653.6853308525028,4.485043802160825,26.035291851368893,0.5778840787776941,0.6773498829732754,0.9688816578726097,0.9957326688583039,0.9187140726958349,1684.8824273206596,-0.003343834940842158,-0.34977267051635486,0.6921814361209258,0.9674659176152858,-0.011773196642764105,10.215733917782018,-1.5160067921643003,0.12942144753341722,-0.008241277964514016,8.467790789729406,52.17391304347826,39.130434782608695,60.869565217391305,65.21739130434783,34.78260869565217,65.21739130434783,39.130434782608695,43.47826086956522,60.869565217391305,65.21739130434783
1998-05-01,0.06806861375529423,0.0,31.770415429968214,64.78455373190934,219.85066772882217,1489.4359780290051,1.2512411597931408,19.48605757257971,0.5539086179396296,0.4280223512834241,0.8138148862648864,0.9883887621456788,0.8274644322383362,1510.795253993073,-0.01981108936988668,-0.0020340833863462717,-7.425079869625254,-3.093002071713343,-0.4198683613419405,-58.73901178036499,-2.2016489447996186,-1.754457450633101,-0.16047429281432646,-62.87743764136826,26.08695652173913,4.3478260869565215,8.695652173913043,26.08695652173913,30.434782608695652,13.043478260869565,8.695652173913043,39.130434782608695,30.434782608695652,13.043478260869565
1998-06-01,0.0910483557587136,0.0,40.40448551569396,58.8093940184119,218.58450836588264,1498.302393705226,3.5459275624969875,15.00024664510937,0.6184674199616211,0.5460431854331597,0.7393256804932025,0.980798616346789,0.8323902187251255,1517.5580836885526,0.011996596629966744,0.0,1.2474143294101765,-2.4856182506682387,-0.6256657446097051,-9.368325770955835,-0.9395640650981258,-3.3548008882318943,-0.014928350467898976,-13.665622478124078,60.869565217391305,4.3478260869565215,60.869565217391305,30.434782608695652,39.130434782608695,39.130434782608695,56.52173913043478,30.434782608695652,52.17391304347826,39.130434782608695
1998-07-01,0.13307451718533117,0.0,43.794662235371916,61.23303824263855,218.21843080588621,1524.2547926941722,4.1931123475523755,14.137968874841691,1.0465923812696016,0.5916690735428421,0.7725201267254815,0.9787512297954238,0.846808218163429,1543.7655408150213,0.05618325244093485,0.0,4.5337479390961875,4.222589665518399,0.18844613704294488,43.73125476476366,0.11615875417033905,-1.8298923635375566,0.40087611621969244,42.474580524057046,95.65217391304348,4.3478260869565215,73.91304347826087,56.52173913043478,47.82608695652174,69.56521739130434,60.869565217391305,39.130434782608695,95.65217391304348,65.21739130434783
1998-08-01,0.10170074349032351,0.0,38.91364837063805,57.31907853781449,217.35342497004498,1474.1776002737352,2.7354856834509915,12.774563541082443,0.9163856094802306,0.5259906302807517,0.7168721370254681,0.9735238669691961,0.8189875557076306,1490.705735851239,0.013507735575015292,0.0,-2.077102548267213,0.3347257985501315,0.14506598787630764,-12.432443954032578,-2.3051502006989306,-2.592957543324861,0.18310179902237567,-17.133942163459324,69.56521739130434,4.3478260869565215,52.17391304347826,52.17391304347826,47.82608695652174,43.47826086956522,34.78260869565217,34.78260869565217,73.91304347826087,43.47826086956522
1998-09-01,0.11910230923156585,0.0,56.15341918684613,66.04343021341828,217.86166320922592,1620.343127648642,9.027995709771641,13.698373041507264,1.0395516780820808,0.7608796626479112,0.8434993658363642,0.9778633990597333,0.9001906264714677,1644.2281503872343,0.01706845252241726,-2.03400640033385e-05,11.01698215906032,6.250071846443923,0.8495456165061057,98.52422571401803,3.971080111185696,-1.4630282146062736,0.21650452457584368,101.26583024763158,69.56521739130434,4.3478260869565215,82.6086956521739,65.21739130434783,60.869565217391305,82.6086956521739,82.6086956521739,52.17391304347826,73.91304347826087,78.26086956521739
1998-10-01,0.23903307727552403,0.009122028646888266,61.20142577477492,73.96026034853057,219.13953680345915,1697.79797826549,9.89442448203906,18.373016049048264,1.7863707457788773,0.8296724137943795,0.9512437734600496,0.9864098802744762,0.9432210990363833,1728.0999446482788,0.10622547397192111,-0.06850556211699009,10.107914181717106,9.93301384700922,1.849645342079441,119.85766344217018,4.812744910255804,3.301282113540143,0.6797711101015098,128.68918148792272,95.65217391304348,56.52173913043478,95.65217391304348,78.26086956521739,73.91304347826087,91.30434782608695,95.65217391304348,73.91304347826087,95.65217391304348,86.95652173913044
1998-11-01,0.24891923614520453,6.521716758993701,72.0019728221161,77.33990686109294,220.71748550284556,1783.1907445808,14.954234763632915,27.577773865522527,2.018295986161616,0.9770784364091895,0.9951501006902643,0.9947021451860997,0.9906615247671111,1834.5116851912558,0.059655618850161934,3.9113060502557953,12.543990098472328,8.525884903608812,2.745817473028353,129.7596314698369,6.936952739469152,11.097563621759583,0.45613301540031204,152.2212425155717,78.26086956521739,78.26086956521739,95.65217391304348,95.65217391304348,78.26086956521739,95.65217391304348,78.26086956521739,78.26086956521739,82.6086956521739,95.65217391304348
