date,qsim,year,month,qobs
1990-10-09,67.44514149341619,1990,10,
1990-10-10,63.7254448167972,1990,10,
1990-10-11,60.44232013201718,1990,10,
1990-10-12,57.4953157890111,1990,10,
1990-10-13,54.83770552097699,1990,10,
1990-10-14,52.43477011980784,1990,10,
1990-10-15,50.28546536300804,1990,10,
1990-10-16,48.97232940195377,1990,10,
1990-10-17,49.594262007972766,1990,10,
1990-10-18,53.34645134191033,1990,10,
1990-10-19,55.19105166332894,1990,10,
1990-10-20,51.76556590299474,1990,10,
1990-10-21,47.98775387311783,1990,10,
1990-10-22,45.60482886067865,1990,10,
1990-10-23,43.902580398867904,1990,10,
1990-10-24,42.44429930992317,1990,10,
1990-10-25,41.34332824897558,1990,10,
1990-10-26,45.510152600633205,1990,10,
1990-10-27,57.17728911142956,1990,10,
1990-10-28,102.24835466601984,1990,10,
1990-10-29,156.5203872166093,1990,10,
1990-10-30,171.3254316246249,1990,10,
1990-10-31,167.5332068330072,1990,10,
1990-11-01,159.17318972812373,1990,11,
1990-11-02,154.93798332772764,1990,11,
1990-11-03,154.0221481299474,1990,11,
1990-11-04,158.18765075758188,1990,11,
1990-11-05,162.78631051723656,1990,11,
1990-11-06,161.0299951049525,1990,11,
1990-11-07,151.320941077474,1990,11,
1990-11-08,136.56691663254637,1990,11,
1990-11-09,121.08454250295124,1990,11,
1990-11-10,110.79602637228818,1990,11,
1990-11-11,114.22254948797438,1990,11,
1990-11-12,121.8857733459128,1990,11,
1990-11-13,135.2171907382516,1990,11,
1990-11-14,148.78749801252863,1990,11,
1990-11-15,155.77318286201202,1990,11,
1990-11-16,162.1941936213903,1990,11,
1990-11-17,167.20230346117,1990,11,
1990-11-18,168.45294664105984,1990,11,
1990-11-19,172.09547212773336,1990,11,
1990-11-20,197.0654533636852,1990,11,
1990-11-21,249.99715726268653,1990,11,
1990-11-22,292.81237210096265,1990,11,
1990-11-23,308.82057392150693,1990,11,
1990-11-24,315.86232395661455,1990,11,
1990-11-25,317.1075501093519,1990,11,
1990-11-26,302.7841387490167,1990,11,
1990-11-27,276.58201817823044,1990,11,
1990-11-28,245.2057255501864,1990,11,
1990-11-29,217.5730280449584,1990,11,
1990-11-30,197.76566764326404,1990,11,
1990-12-01,179.6948622619611,1990,12,
1990-12-02,162.57884223828324,1990,12,
1990-12-03,146.37464380324346,1990,12,
1990-12-04,133.2809411668765,1990,12,
1990-12-05,123.59627805722783,1990,12,
1990-12-06,116.1610505319,1990,12,
1990-12-07,109.8867876328239,1990,12,
1990-12-08,104.31912307659908,1990,12,
1990-12-09,99.33675443320897,1990,12,
1990-12-10,94.8617015924357,1990,12,
1990-12-11,90.82852619164102,1990,12,
1990-12-12,93.4528953984934,1990,12,
1990-12-13,104.36837618557604,1990,12,
1990-12-14,106.10152729069296,1990,12,
1990-12-15,101.37744111634235,1990,12,
1990-12-16,96.07548139929617,1990,12,
1990-12-17,91.4896131038072,1990,12,
1990-12-18,87.42126941505579,1990,12,
1990-12-19,83.77120463657074,1990,12,
1990-12-20,80.48236245940532,1990,12,
1990-12-21,90.04710241937254,1990,12,
1990-12-22,118.89826789580626,1990,12,
1990-12-23,138.8036038162046,1990,12,
1990-12-24,143.1071886880325,1990,12,
1990-12-25,151.96487812045672,1990,12,
1990-12-26,195.8486066748285,1990,12,
1990-12-27,268.35119265152616,1990,12,
1990-12-28,332.58920232698574,1990,12,
1990-12-29,396.6816466958515,1990,12,
1990-12-30,470.0995483907328,1990,12,
1990-12-31,544.9916664537401,1990,12,
1991-01-01,639.260730303629,1991,1,
1991-01-02,738.029712446688,1991,1,
1991-01-03,821.2349495150835,1991,1,
1991-01-04,853.9507992575767,1991,1,
