nSoil_Types 2676
SOIL_NR	HORIZON	UD[mm]	LD[mm]	Clay[%]	SAND[%]	Bd[gcm-3]	Silt[%]
61	3	300	350	2.5	92.5	1.63	
61	4	350	600	2.5	92.5	1.83	
61	5	600	1000	2.5	92.5	1.63	
61	6	1000	2000	21.0	44.0	1.71	
62	1	0	100	2.5	92.5	1.4	
62	2	100	300	2.5	92.5	1.4	
62	3	300	350	2.5	92.5	1.83	
62	4	350	600	2.5	92.5	1.83	
62	5	600	1500	2.5	92.5	1.63	
62	6	1500	2000	2.5	92.5	1.63	
63	1	0	100	6.5	76.0	1.37	
63	2	100	300	10.0	65.0	1.58	
63	3	300	400	6.5	76.0	1.6	
63	4	400	600	21.0	44.0	1.71	
63	5	600	1500	21.0	56.5	1.52	
63	6	1500	2000	21.0	44.0	1.71	
64	1	0	100	2.5	92.5	1.18	
64	2	100	300	2.5	92.5	1.18	
64	3	300	800	2.5	92.5	1.63	
64	4	800	1000	14.5	60.5	1.55	
64	5	1000	2000	21.0	44.0	1.71	
65	1	0	250	2.5	92.5	1.4	
65	2	250	600	2.5	92.5	1.83	
65	3	600	1000	2.5	92.5	1.63	
65	4	1000	2000	2.5	92.5	1.63	
66	1	0	300	2.5	92.5	1.4	
66	2	300	500	2.5	92.5	1.4	
66	3	500	800	2.5	92.5	1.63	
66	4	800	2000	2.5	92.5	1.63	
67	1	0	250	2.5	92.5	1.4	
67	2	250	500	2.5	92.5	1.63	
67	3	500	700	2.5	92.5	1.63	
67	4	700	1000	2.5	92.5	1.63	
67	5	1000	2000	2.5	92.5	1.63	
68	1	0	300	2.5	92.5	1.4	
68	2	300	600	2.5	92.5	1.63	
68	3	600	1200	2.5	92.5	1.63	
68	4	1200	2000	2.5	92.5	1.63	
69	1	0	100	2.5	92.5	1.63	
69	2	100	600	2.5	92.5	1.63	
69	3	600	2000	2.5	92.5	1.63	
70	1	0	100	2.5	92.5	1.18	
70	2	100	300	2.5	92.5	1.18	
70	3	300	2000	2.5	92.5	1.4	
71	1	0	100	2.5	92.5	1.4	
71	2	100	2000	2.5	92.5	1.63	
72	1	0	50	2.5	92.5	1.4	
72	2	50	2000	2.5	92.5	1.4	
73	1	0	250	35.0	42.5	1.45	
73	2	250	2000	55.0	22.5	1.55	
74	1	0	50	35.0	10.0	1.41	
74	2	50	300	35.0	10.0	1.41	
74	3	300	2000	2.5	92.5	1.63	
75	1	0	200	2.5	92.5	1.4	
75	2	200	410	35.0	10.0	1.41	
75	3	410	700	2.5	92.5	1.63	
75	4	700	2000	2.5	92.5	1.63	
76	1	0	100	2.5	92.5	1.4	
76	2	100	2000	2.5	92.5	1.4	
77	1	0	300	2.5	92.5	1.4	
77	2	300	350	2.5	92.5	1.4	
77	3	350	700	2.5	92.5	1.63	
77	4	700	2000	2.5	92.5	1.63	
78	1	0	100	27.5	5.0	1.21	
78	2	100	390	27.5	5.0	1.44	
78	3	390	2000	27.5	5.0	1.44	
79	1	0	100	50.0	10.0	1.12	
79	2	100	600	50.0	10.0	1.12	
79	3	600	2000	50.0	10.0	1.12	
80	1	0	100	35.0	10.0	1.18	
80	2	100	390	35.0	10.0	1.41	
80	3	390	2000	35.0	10.0	1.41	
81	1	0	250	20.0	8.0	1.24	
81	2	250	790	20.0	8.0	1.47	
81	3	790	1310	27.5	5.0	1.44	
81	4	1310	1800	27.5	5.0	1.44	
81	5	1800	2000	27.5	5.0	1.44	
82	1	0	100	35.0	10.0	1.18	
82	2	100	300	35.0	10.0	1.41	
82	3	300	600	35.0	10.0	1.18	
82	4	600	2000	35.0	10.0	1.18	
83	1	0	150	35.0	10.0	1.18	
83	2	150	600	35.0	10.0	1.41	
83	3	600	1100	35.0	10.0	1.41	
83	4	1100	2000	35.0	10.0	1.41	
84	1	0	150	35.0	10.0	1.18	
84	2	150	390	35.0	10.0	1.61	
84	3	390	810	35.0	10.0	1.76	
84	4	810	1000	50.0	10.0	1.55	
84	5	1000	2000	35.0	10.0	1.41	
85	1	0	300	2.5	92.5	1.4	
85	2	300	500	2.5	92.5	1.63	
85	3	500	750	2.5	92.5	1.63	
85	4	750	900	2.5	92.5	1.63	
85	5	900	2000	14.5	60.5	1.75	
86	1	0	300	2.5	92.5	1.4	
86	2	300	500	2.5	92.5	1.63	
86	3	500	1600	2.5	92.5	1.63	
86	4	1600	2000	14.5	60.5	1.55	
87	1	0	300	6.5	76.0	1.37	
87	2	300	810	6.5	76.0	1.6	
87	3	810	2000	14.5	60.5	1.75	
88	1	0	150	14.5	60.5	1.32	
88	2	150	600	14.5	60.5	1.55	
88	3	600	2000	35.0	10.0	1.61	
89	1	0	300	6.5	76.0	1.37	
89	2	300	500	6.5	76.0	1.6	
89	3	500	700	14.5	60.5	1.75	
89	4	700	1300	14.5	60.5	1.75	
89	5	1300	2000	14.5	60.5	1.55	
90	1	0	300	6.5	76.0	1.37	
90	2	300	500	6.5	76.0	1.37	
90	3	500	790	6.5	76.0	1.6	
90	4	790	2000	14.5	60.5	1.75	
91	1	0	300	2.5	80.0	1.39	
91	2	300	530	2.5	80.0	1.62	
91	3	530	2000	2.5	92.5	1.63	
