date,SMI,RCI,QDI,MDI
2005-09-20,91.796875,97.265625,87.890625,92.31771
2005-09-21,90.234375,97.265625,88.671875,92.05729
2005-09-22,89.453125,97.265625,87.890625,91.53646
2005-09-23,88.671875,96.484375,87.890625,91.015625
2005-09-24,88.671875,95.703125,83.984375,89.453125
2005-09-25,87.109375,94.140625,79.296875,86.84896
2005-09-26,85.546875,90.234375,78.515625,84.765625
2005-09-27,84.765625,87.890625,73.828125,82.16146
2005-09-28,87.109375,86.328125,87.890625,87.109375
2005-09-29,86.328125,87.109375,84.765625,86.06771
2005-09-30,85.546875,84.765625,72.265625,80.859375
2005-10-01,85.546875,84.765625,93.359375,87.890625
2005-10-02,91.015625,86.328125,76.171875,84.50521
2005-10-03,91.015625,83.203125,67.578125,80.59896
2005-10-04,89.453125,76.953125,62.109375,76.171875
2005-10-05,86.328125,73.046875,56.640625,72.00521
2005-10-06,86.328125,69.921875,54.296875,70.18229
2005-10-07,85.546875,64.453125,48.828125,66.27604
2005-10-08,84.765625,62.109375,46.484375,64.453125
2005-10-09,83.203125,58.203125,48.046875,63.151043
2005-10-10,82.421875,55.078125,44.140625,60.546875
2005-10-11,80.078125,50.390625,45.703125,58.723957
2005-10-12,77.734375,45.703125,43.359375,55.598957
2005-10-13,74.609375,41.015625,40.234375,51.953125
2005-10-14,73.828125,36.328125,38.671875,49.609375
2005-10-15,71.484375,32.421875,37.109375,47.005207
2005-10-16,69.921875,30.859375,37.109375,45.963543
2005-10-17,67.578125,29.296875,37.109375,44.661457
2005-10-18,66.796875,26.953125,38.671875,44.140625
2005-10-19,66.015625,25.390625,38.671875,43.359375
2005-10-20,66.015625,22.265625,36.328125,41.536457
2005-10-21,64.453125,16.796875,33.984375,38.411457
2005-10-22,63.671875,14.453125,29.296875,35.807293
2005-10-23,66.015625,17.578125,87.109375,56.901043
2005-10-24,70.703125,21.484375,59.765625,50.651043
2005-10-25,73.046875,20.703125,54.296875,49.348957
2005-10-26,71.484375,18.359375,33.984375,41.276043
2005-10-27,69.921875,16.796875,32.421875,39.713543
2005-10-28,67.578125,16.015625,30.859375,38.151043
2005-10-29,66.015625,13.671875,30.078125,36.588543
2005-10-30,60.546875,11.328125,26.953125,32.942707
2005-10-31,59.765625,9.765625,26.171875,31.901041
2005-11-01,58.203125,8.203125,26.171875,30.859375
2005-11-02,50.390625,6.640625,22.265625,26.432291
2005-11-03,47.265625,4.296875,19.921875,23.828125
