date,sm,recharge,runoff,smi_percent,ssi,recharge_percent,runoff_percent,qsim_monthly_mean,discharge_percent,drought_class
1991-02-01,0.9451554115674502,7.799278386036011,23.54874776428902,93.75,1.5341205443525463,47.91666666666667,58.333333333333336,107.80528045547462,60.416666666666664,normal_or_wet
1991-03-01,0.9244776781385335,13.617566650932535,29.244203304506172,87.5,1.1503493803760079,72.91666666666666,70.83333333333334,122.59037353293256,66.66666666666666,normal_or_wet
1991-04-01,0.8664831760118182,4.952344723593116,18.44033752888324,66.66666666666666,0.43072729929545717,25.0,43.75,78.05204045638096,43.75,normal_or_wet
1991-05-01,0.8181082569779935,5.895991788864131,15.95542794491499,54.166666666666664,0.10463345561407526,33.33333333333333,35.41666666666667,67.16704480908265,31.25,normal_or_wet
1991-06-01,0.7552727521432328,3.751018834009199,13.18129063834471,43.75,-0.1573106846101707,18.75,18.75,56.04242445231956,18.75,normal_or_wet
1991-07-01,0.7090241249119279,3.510642632941237,11.620965996355437,27.083333333333332,-0.6102946101863327,14.583333333333334,14.583333333333334,47.91466571227274,10.416666666666668,moderate_drought
1991-08-01,0.6412374155266635,1.8661387774293243,8.183236693720788,12.5,-1.1503493803760079,4.166666666666666,2.083333333333333,34.19239538948809,2.083333333333333,severe_drought
1991-09-01,0.6071281905757114,2.024279385637995,8.885819560921265,6.25,-1.5341205443525463,8.333333333333332,4.166666666666666,36.973461699388515,4.166666666666666,extreme_drought
1991-10-01,0.7292672091863359,10.678662874421404,15.31079249065491,35.41666666666667,-0.37409541019772335,60.416666666666664,29.166666666666668,69.21357171533556,33.33333333333333,normal_or_wet
1991-11-01,0.8283744852478233,24.936465703448857,41.733471439584584,58.333333333333336,0.21042839424792484,87.5,79.16666666666666,189.62120572092616,81.25,normal_or_wet
1991-12-01,0.8747799829571514,23.928237289660846,48.67078778676157,70.83333333333334,0.5485222826980983,83.33333333333334,89.58333333333334,208.97933577641237,89.58333333333334,normal_or_wet
1992-01-01,0.9059625166020355,13.508232662338711,26.781566856417005,79.16666666666666,0.8122178014999124,70.83333333333334,62.5,119.60843527178943,64.58333333333334,normal_or_wet
1992-02-01,0.9164796127309153,20.421062345327044,36.94514664087505,83.33333333333334,0.9674215661017016,79.16666666666666,75.0,168.89719782698276,77.08333333333334,normal_or_wet
1992-03-01,0.9110227661801923,23.835287785450248,47.979786020597,81.25,0.887146559018876,81.25,87.5,202.42481836146047,87.5,normal_or_wet
1992-04-01,0.90044803838819,19.947427950303265,37.681145976641226,77.08333333333334,0.7415940438615168,77.08333333333334,77.08333333333334,173.3391278697134,79.16666666666666,normal_or_wet
1992-05-01,0.8256973310977024,8.33661458015321,24.140624815379006,56.25,0.1573106846101707,52.083333333333336,60.416666666666664,103.14816672634316,58.333333333333336,normal_or_wet
1992-06-01,0.7819611674597194,6.496870602295215,19.699078752363107,50.0,0.0,43.75,50.0,85.25734494305892,50.0,normal_or_wet
1992-07-01,0.7440115406303285,6.1295219004195065,17.862148630935927,41.66666666666667,-0.21042839424792456,39.58333333333333,41.66666666666667,74.16868152369224,37.5,normal_or_wet
1992-08-01,0.6664030032374977,1.94585123376344,12.857919883641909,14.583333333333334,-1.0544724517700528,6.25,16.666666666666664,51.38427291041221,14.583333333333334,severe_drought
1992-09-01,0.6962117133053165,3.650721368935195,11.584477529146657,22.916666666666664,-0.7415940438615164,16.666666666666664,12.5,52.92403886357731,16.666666666666664,moderate_drought
1992-10-01,0.715453643431288,9.550777238000947,19.669524554981503,31.25,-0.4887764111146695,54.166666666666664,47.91666666666667,75.54487293231774,41.66666666666667,normal_or_wet
1992-11-01,0.8635577589651916,35.470222792891434,70.70072275690762,64.58333333333334,0.37409541019772397,95.83333333333334,95.83333333333334,307.4356272374263,95.83333333333334,normal_or_wet
1992-12-01,0.9356529286857659,28.560658017836804,60.46122506964825,91.66666666666666,1.3829941271006374,93.75,93.75,281.6917639249162,93.75,normal_or_wet
1993-01-01,0.9492017478490353,24.501519666315538,59.21647042885735,95.83333333333334,1.731664396122247,85.41666666666666,91.66666666666666,247.16455536374482,91.66666666666666,normal_or_wet
